Model,R2 Score,RMSE,MAE,MAPE
XGBoost,0.7447109222412109,140.3003961928654,90.06604347097007,12.639821644836276
LightGBM,0.7171957559793285,147.66778552094144,96.79380340566881,13.977344931113741
Random Forest,0.7130578360438181,148.74418121522422,90.02548706940973,12.565374064537632
Gradient Boosting,0.6453528820707649,165.36401877397108,109.2007995152303,16.184505523239505
Neural Network,0.5863533133320337,178.59018031993116,121.52839915471709,16.79966108061489
Decision Tree,0.4901969826457857,198.26406286891435,109.92137996020539,15.299190959643273
Linear Regression,0.34576891522823694,224.5992948123725,145.2652221470389,21.400304826992674
Ridge Regression,0.3457653506284101,224.59990667990334,145.26387213143383,21.40011847600546
Lasso Regression,0.3448327313305126,224.75993459304712,144.65605065925214,21.307519085340452
ElasticNet,0.3099634931082179,230.66347729018338,145.36942908014785,21.530857696875856
SVR,0.2260992739202201,244.27860311311915,145.84178856607656,20.656522552617623
