Model,R2 Score,RMSE,MAE,MAPE
XGBoost,0.7374507188796997,142.28143188545369,91.81778961354436,13.008056105802751
Random Forest,0.7155659368193039,148.09268372360972,90.69768080798572,12.593654460874138
LightGBM,0.7149986658684931,148.2402870589418,97.65851995284558,13.887876166624066
Gradient Boosting,0.6476009417543839,164.83907559137393,109.23230214710304,16.159266659213248
Neural Network,0.5343975471291621,189.47435205578552,123.32068583493283,17.7101730748869
Decision Tree,0.48567502187261924,199.14142428799568,111.90469776958487,15.292517345160325
Linear Regression,0.34537280496736766,224.6672773838752,145.3996480464897,21.40875939277771
Ridge Regression,0.3453437915159665,224.67225601977694,145.40025532442465,21.409045994439634
Lasso Regression,0.3397781247258683,225.62527869600987,145.2041341928464,21.389292892528978
ElasticNet,0.20751490749143853,247.1942426698814,158.9067026987389,23.697219393065406
SVR,0.0002690494765503759,277.64149201174746,192.9972154309816,28.141993202216533
