Model,R2 Score,RMSE,MAE,MAPE
XGBoost,0.7341136932373047,143.1827735470472,91.55572566404099,12.945104252853024
LightGBM,0.7150663113519268,148.2226934904572,96.89543549462593,13.817625616022541
Random Forest,0.7144115346950362,148.39290338635087,89.91582793320745,12.553589719273212
Gradient Boosting,0.645352882070765,165.36401877397105,109.20079951523029,16.184505523239505
Neural Network,0.5401104951886744,188.3083379009778,124.27739516734923,18.353078852511626
Decision Tree,0.4901969826457857,198.26406286891435,109.92137996020539,15.299190959643273
Linear Regression,0.34576891522823716,224.59929481237248,145.2652221470388,21.40030482699264
Ridge Regression,0.3457396139398997,224.6043243616904,145.26565638270523,21.400628862935825
Lasso Regression,0.3400602227288029,225.57707123480907,145.07819358962567,21.382007892287206
ElasticNet,0.20838619837976702,247.05831751193034,158.5419175121217,23.665857874784045
SVR,0.0018568909347322915,277.42091973788433,191.0953760318004,27.480567853401173
